"geneset","nBait","mean.pval","median.pval","median.CIlower","median.CIupper","nIter","num","sd.pval","se.pval","mean.OR","median.OR","min.OR","sd.OR","se.OR","SElower.OR","SEupper.OR","SElower.pval","SEupper.pval","SDupper.OR","SDlower.OR","log10.median.pval","log10.SElower.pval","log10.SEupper.pval"
"exomeMinusPreyASD102",1,0.00149282972741533,0.00140061627798529,1.0976082333863,1.38581155417559,1000,1000,0.000366710150543781,1.15963931682158e-05,1.23220130248371,1.23321430212625,1.21331528010954,0.00565080588702103,0.000178694172184746,1.23303560795407,1.23303560795407,0.00138901988481707,0.0014122126711535,1.23303560795407,1.23303560795407,2.85368083058113,2.85729153698052,2.85009989609336
"exomeMinusPreyASD102",2,0.00170192345784643,0.00158432705000756,1.0947616260112,1.38234022973346,1000,1000,0.000530671194064776,1.67812966188592e-05,1.229186155179,1.23006562421134,1.19795326403063,0.00733525313795408,0.000231961071298322,1.22983366314004,1.22983366314004,0.0015675457533887,0.00160110834662642,1.22983366314004,1.22983366314004,2.8001551628018,2.8047797741628,2.79557927848053
"exomeMinusPreyASD102",3,0.00188183816459027,0.00173032440823541,1.09273213480153,1.37995027722904,1000,1000,0.000656768763679474,2.07688518928001e-05,1.2268674267262,1.22785668109965,1.19849955416772,0.00847285574379959,0.000267935224364468,1.22758874587529,1.22758874587529,0.00170955555634261,0.00175109326012821,1.22758874587529,1.22758874587529,2.76187246594721,2.76711678113765,2.75669072354505
"exomeMinusPreyASD102",4,0.00217094074890521,0.00197233259236695,1.08959986329213,1.37587019694294,1000,1000,0.000872006175625142,2.75752564870825e-05,1.22348333245685,1.22429097471217,1.18759897758493,0.00972160449640318,0.000307424127199682,1.22398355058497,1.22398355058497,0.00194475733587987,0.00199990784885404,1.22398355058497,1.22398355058497,2.70501984859847,2.71113458162008,2.69899001516412
"exomeMinusPreyASD102",5,0.00236604051805383,0.00210104677752543,1.08808657401276,1.37395996293492,1000,1000,0.000961492239357157,3.04050542894441e-05,1.22133850461957,1.2225836063924,1.18455040760611,0.0102597558221049,0.000324441966350246,1.22225916442605,1.22225916442605,0.00207064172323598,0.00213145183181487,1.22225916442605,1.22225916442605,2.67756427839128,2.68389503924374,2.67132447742613
"exomeMinusPreyASD102",6,0.00253088769799884,0.00232676847079361,1.08576658723797,1.37111412814842,1000,1000,0.00106447795424554,3.36617485445242e-05,1.21965743067347,1.22007454386526,1.18026385227321,0.0106018633847569,0.000335260357377739,1.21973928350788,1.21973928350788,0.00229310672224909,0.00236043021933814,1.21973928350788,1.21973928350788,2.63324682980281,2.63957573253334,2.62700883395517
"exomeMinusPreyASD102",7,0.00277033406709818,0.00257604645399626,1.08324596570285,1.36808064873488,1000,1000,0.00111552171157987,3.52758938796182e-05,1.21716131815431,1.21727003001627,1.18544484390268,0.0105620179749166,0.000334000334883755,1.21693602968138,1.21693602968138,0.00254077056011664,0.00261132234787587,1.21693602968138,1.21693602968138,2.58904630958384,2.59503455138971,2.58313951451838
"exomeMinusPreyASD102",8,0.00308280234124663,0.00281155397254958,1.08114799876948,1.36556397655801,1000,1000,0.00134835451002724,4.26387134504641e-05,1.21449553528406,1.21508909350921,1.17278619575471,0.0111595548295636,0.000352896109349531,1.21473619739986,1.21473619739986,0.00276891525909911,0.00285419268600004,1.21473619739986,1.21473619739986,2.551053575055,2.55769033535908,2.5445167110946
"exomeMinusPreyASD102",9,0.00332317675421011,0.00300832011375325,1.07943974588265,1.36347590437909,1000,1000,0.00150326999691733,4.75375712845307e-05,1.21267525516257,1.21309129129979,1.17429672781873,0.0118247216470155,0.000373930531020664,1.21271736076877,1.21271736076877,0.00296078254246871,0.00305585768503778,1.21271736076877,1.21271736076877,2.5216759525752,2.52859348861676,2.51486687524097
"exomeMinusPreyASD102",10,0.00341161813642684,0.0030945872801695,1.07883193880016,1.36252744767537,1000,1000,0.0015572569821925,4.92447896592856e-05,1.21202769839566,1.21232244905899,1.17013704973144,0.0119958780039914,0.000379342970261271,1.21194310608873,1.21194310608873,0.00304534249051022,0.00314383206982879,1.21194310608873,1.21194310608873,2.50939726389654,2.51636385791638,2.50254066018177
